constellation,height,type,origin,destination,origin_name,destination_name,Mean latency there,Mean latency back,Min. RTT,Mean RTT,Max. RTT,Smp.std. RTT,Reply arrival
telesat,1015,isls,356,357,Barcelona,Venice,7.97 ms,7.97 ms,15.21 ms,15.94 ms,16.76 ms,0.41 ms,199985/200000 (100%)
telesat,1015,isls,352,354,Munich,London,8.01 ms,8.01 ms,15.35 ms,16.01 ms,18.04 ms,0.69 ms,199985/200000 (100%)
kuiper,630,isls,1161,1164,Barcelona,Moscow,13.64 ms,13.64 ms,24.36 ms,27.28 ms,29.12 ms,1.62 ms,199972/200000 (100%)
starlink,550,isls,1586,1589,Amsterdam,Barcelona,5.58 ms,5.58 ms,10.99 ms,11.17 ms,11.41 ms,0.11 ms,199989/200000 (100%)
kuiper,630,isls,1156,1164,Frankfurt,Moscow,9.76 ms,9.76 ms,16.76 ms,19.52 ms,21.69 ms,1.44 ms,199980/200000 (100%)
telesat,1015,isls,353,356,Amsterdam,Barcelona,9.18 ms,9.18 ms,17.37 ms,18.35 ms,21.00 ms,1.08 ms,199983/200000 (100%)
telesat,1015,isls,354,359,London,Moscow,11.75 ms,11.75 ms,22.62 ms,23.49 ms,24.89 ms,0.68 ms,199977/200000 (100%)
starlink,550,isls,1584,1592,Frankfurt,Moscow,8.58 ms,8.58 ms,16.49 ms,17.16 ms,22.25 ms,0.73 ms,199984/200000 (100%)
kuiper,630,isls,1163,1164,Helsinki,Moscow,8.34 ms,8.34 ms,13.92 ms,16.69 ms,22.72 ms,3.21 ms,173975/200000 (87%)
kuiper,630,isls,1157,1163,Munich,Helsinki,8.13 ms,8.13 ms,14.24 ms,16.26 ms,28.82 ms,2.51 ms,173974/200000 (87%)
starlink,550,isls,1589,1590,Barcelona,Venice,4.92 ms,4.92 ms,9.54 ms,9.83 ms,10.60 ms,0.29 ms,199991/200000 (100%)
starlink,550,isls,1590,1592,Venice,Moscow,9.02 ms,9.02 ms,16.85 ms,18.04 ms,23.86 ms,1.00 ms,199983/200000 (100%)
telesat,1015,isls,352,358,Munich,Helsinki,9.61 ms,9.61 ms,17.98 ms,19.21 ms,20.65 ms,0.91 ms,199981/200000 (100%)
telesat,1015,isls,351,358,Frankfurt,Helsinki,9.35 ms,9.35 ms,17.65 ms,18.70 ms,20.23 ms,0.85 ms,199981/200000 (100%)
kuiper,630,isls,1162,1164,Venice,Moscow,9.90 ms,9.90 ms,17.31 ms,19.79 ms,21.97 ms,1.54 ms,199980/200000 (100%)
telesat,1015,isls,352,355,Munich,Rome,7.29 ms,7.29 ms,13.89 ms,14.59 ms,16.60 ms,0.70 ms,199985/200000 (100%)
starlink,550,isls,1588,1590,Rome,Venice,3.69 ms,3.69 ms,6.95 ms,7.37 ms,8.39 ms,0.37 ms,199992/200000 (100%)
kuiper,630,isls,1162,1163,Venice,Helsinki,8.61 ms,8.61 ms,15.43 ms,17.21 ms,29.55 ms,2.53 ms,173973/200000 (87%)
kuiper,630,isls,1156,1157,Frankfurt,Munich,4.55 ms,4.55 ms,8.81 ms,9.11 ms,9.84 ms,0.28 ms,199992/200000 (100%)
telesat,1015,isls,352,357,Munich,Venice,7.32 ms,7.32 ms,13.96 ms,14.63 ms,16.55 ms,0.66 ms,199985/200000 (100%)
kuiper,630,isls,1157,1162,Munich,Venice,4.85 ms,4.85 ms,8.73 ms,9.70 ms,11.58 ms,0.89 ms,199992/200000 (100%)
kuiper,630,isls,1159,1161,London,Barcelona,6.17 ms,6.17 ms,11.65 ms,12.33 ms,13.97 ms,0.58 ms,199988/200000 (100%)
starlink,550,isls,1586,1590,Amsterdam,Venice,4.86 ms,4.86 ms,9.48 ms,9.72 ms,10.34 ms,0.21 ms,199991/200000 (100%)
telesat,1015,isls,351,359,Frankfurt,Moscow,10.75 ms,10.75 ms,20.01 ms,21.50 ms,23.42 ms,0.96 ms,199980/200000 (100%)
starlink,550,isls,1586,1591,Amsterdam,Helsinki,8.25 ms,8.26 ms,13.89 ms,16.51 ms,22.95 ms,1.52 ms,199986/200000 (100%)
