abbreviation_source,abbreviation_destination,min,avg,max,mdev,Distance,Expected_Latency,min_global
Cai,LA,180.36833333333334,181.51683333333332,186.19070833333333,1.366375,12199.053436011673,121.99053436011673,180.103
Cai,Mad,56.585625,57.946875,62.779875,1.3935000000000002,3347.079617272386,33.47079617272386,56.302
Cai,Mx,194.26058333333333,195.21166666666667,198.37545833333334,1.023375,12366.966917199252,123.66966917199254,192.828
Cai,NY,124.835875,125.91270833333334,129.57133333333334,1.1392916666666666,8994.158307390066,89.94158307390065,124.604
Cai,Riy,115.38045833333332,117.35045833333334,122.92399999999999,1.7910416666666666,1642.6674502660626,16.426674502660624,114.958
Cai,Tok,271.53636363636366,272.96131818181817,277.5861818181818,1.4726363636363637,9570.117323686782,95.70117323686782,271.251
LA,Bar,153.56220833333333,153.920375,154.20195833333332,0.3885416666666666,9653.684750877452,96.53684750877453,153.466
LA,Bog,108.84358333333334,109.194,110.91091666666667,0.5552083333333333,5605.3414104866,56.053414104866,105.429
LA,Cai,180.32483333333334,181.41958333333332,185.15800000000002,1.1550416666666667,12199.053436011673,121.99053436011673,179.906
LA,Mad,145.84766666666667,146.5747142857143,149.2195714285714,0.9317619047619048,9365.123060557991,93.65123060557991,144.193
LA,Mx,53.65133333333333,53.953583333333334,55.96283333333333,0.55075,2490.3536563719763,24.903536563719765,51.619
LA,NY,73.94691304347826,74.29565217391304,74.79030434782608,0.3431739130434783,3965.529206694972,39.65529206694972,72.814
LA,Riy,208.32821739130435,209.78091304347828,213.27313043478262,1.419608695652174,13298.864361197046,132.98864361197045,206.732
LA,Syd,162.4956956521739,162.81726086956522,163.38426086956522,0.45634782608695657,12073.608834719364,120.73608834719364,162.437
LA,Tok,115.94358333333334,116.217375,116.77620833333333,0.36566666666666664,8810.343344564402,88.10343344564403,115.85
Mad,Bar,9.031958333333334,9.272958333333333,9.76625,0.18895833333333334,503.94949011775947,5.039494901177595,8.975
Mad,Bog,169.34225,169.52008333333333,170.53775,0.48025,8021.631926120888,80.21631926120888,169.043
Mad,Cai,56.71008333333333,58.46254166666666,62.90324999999999,1.4881666666666666,3347.079617272386,33.47079617272386,56.272
Mad,LA,145.93368181818184,146.57081818181817,149.45381818181818,0.9098636363636363,9365.123060557991,93.65123060557993,144.232
Mad,Mx,148.706875,148.89341666666667,150.81166666666667,0.699125,9064.8470904846,90.64847090484601,147.36
Mad,NY,81.95033333333333,82.072625,82.77391666666666,0.33945833333333336,5742.340967503533,57.42340967503534,81.915
Mad,Riy,94.630125,95.99525,100.76095833333333,1.5308333333333335,4965.073837755142,49.65073837755143,94.548
Mad,Syd,244.65608333333333,245.2175,247.83091666666667,0.9399583333333333,17683.193357491633,176.83193357491632,244.62
Mad,Tok,216.94883333333334,217.052875,217.57854166666667,0.45716666666666667,10766.61392817648,107.66613928176481,216.317
Mx,Bar,151.45445833333335,151.874625,155.4539166666667,1.0055,9489.102840128575,94.89102840128574,149.915
Mx,Bog,117.83208333333333,118.219,121.15395833333334,0.8072083333333334,3177.3250042788545,31.773250042788547,116.164
Mx,Cai,194.18345833333333,195.29695833333335,201.473125,1.6125,12366.966917199252,123.66966917199254,192.885
Mx,LA,53.39695833333334,53.762499999999996,58.53325,1.0677083333333333,2490.3536563719763,24.903536563719765,51.545
Mx,Mad,148.65475,148.86370833333334,149.37416666666667,0.472875,9064.8470904846,90.64847090484601,147.37
Mx,NY,68.26170833333333,68.52137499999999,70.81183333333333,0.6730416666666668,3384.2476660968787,33.842476660968785,66.981
Mx,Riy,213.32262500000002,214.767125,222.54583333333335,2.1344583333333333,13877.208669224092,138.77208669224092,211.731
Mx,Syd,198.41875000000002,200.214125,203.26175,1.805375,12972.934583504311,129.72934583504312,186.878
Mx,Tok,166.62554166666666,166.80370833333333,167.36370833333334,0.4666666666666666,11300.688978331318,113.00688978331318,165.026
