origin_name,destination_name,type,constellation_telesat,height_telesat,origin_telesat,destination_telesat,Mean latency there_telesat,Mean latency back_telesat,Min. RTT_telesat,Mean RTT_telesat,Max. RTT_telesat,Smp.std. RTT_telesat,Reply arrival_telesat,constellation_kuiper,height_kuiper,origin_kuiper,destination_kuiper,Mean latency there_kuiper,Mean latency back_kuiper,Min. RTT_kuiper,Mean RTT_kuiper,Max. RTT_kuiper,Smp.std. RTT_kuiper,Reply arrival_kuiper,constellation_starlink,height_starlink,origin_starlink,destination_starlink,Mean latency there_starlink,Mean latency back_starlink,Min. RTT_starlink,Mean RTT_starlink,Max. RTT_starlink,Smp.std. RTT_starlink,Reply arrival_starlink,country_source,country_destination,min_of,avg_of,max_of,mdev_of,Distance_of,Expected_Latency_of,satellites_telesat,satellites_distance_telesat,satellites_kuiper,satellites_distance_kuiper,satellites_starlink,satellites_distance_starlink
Cairo,Tokyo,isls,telesat,1015,358,359,34.38 ms,34.38 ms,68.58 ms,68.76 ms,69.42 ms,0.20 ms,199932/200000 (100%),kuiper,630,1163,1164,38.37 ms,38.37 ms,74.25 ms,76.74 ms,79.82 ms,2.35 ms,199926/200000 (100%),starlink,550,1591,1592,37.86 ms,37.86 ms,73.30 ms,75.73 ms,83.23 ms,0.54 ms,199925/200000 (100%),Egypt,Japan,"266,777315789474","267,607368421053","272,109631578947","1,21057894736842","9570,11732368678","95,7011732368678",1,"10370,85675",9,"11478,3802252726",6,"11346,33980995"
Barcelona,Tokyo,isls,telesat,1015,352,359,37.33 ms,37.32 ms,74.27 ms,74.65 ms,82.74 ms,0.29 ms,199926/200000 (100%),kuiper,630,1157,1164,41.79 ms,41.79 ms,80.95 ms,83.57 ms,85.87 ms,1.02 ms,199916/200000 (100%),starlink,550,1585,1592,47.12 ms,47.12 ms,88.50 ms,94.24 ms,98.32 ms,3.41 ms,199902/200000 (100%),Spain,Japan,"254,680291666667","254,935625","255,454291666667","0,527458333333333","10417,8992639239","104,178992639239",1,"11210,3075","10,2857142857143","12532,6423628773","8,83333333333333","14121,0905750443"
Cairo,Sidney,isls,telesat,1015,358,360,62.13 ms,62.13 ms,117.98 ms,124.26 ms,125.93 ms,1.08 ms,199876/200000 (100%),kuiper,630,1163,1165,58.31 ms,58.32 ms,115.62 ms,116.63 ms,120.19 ms,1.50 ms,199885/200000 (100%),starlink,550,1591,1593,74.15 ms,74.16 ms,142.45 ms,148.31 ms,154.36 ms,5.00 ms,199846/200000 (100%),,,,,,,,,"3,75","18319,2845968609","13,5714285714286","17662,8868640229","15,5","21852,2208598094"
Bogota,Sidney,isls,telesat,1015,357,360,60.24 ms,60.24 ms,118.59 ms,120.48 ms,124.10 ms,1.98 ms,199881/200000 (100%),kuiper,630,1162,1165,58.19 ms,58.19 ms,111.24 ms,116.39 ms,117.74 ms,1.29 ms,199884/200000 (100%),starlink,550,1590,1593,59.24 ms,59.24 ms,108.23 ms,118.48 ms,127.51 ms,7.37 ms,199874/200000 (100%),Colombia,Australia,"243,915333333333","244,422333333333","247,093285714286","1,19390476190476","14325,1373796274","143,251373796274","3,33333333333333","18070,8741372552","13,5","17384,7698876371","9,8","18158,3364860292"
Los-Angeles,Cairo,isls,telesat,1015,354,358,45.71 ms,45.71 ms,91.28 ms,91.41 ms,91.44 ms,0.03 ms,199909/200000 (100%),kuiper,630,1159,1163,48.52 ms,48.52 ms,94.61 ms,97.04 ms,99.31 ms,1.91 ms,199902/200000 (100%),starlink,550,1587,1591,53.04 ms,53.04 ms,99.79 ms,106.08 ms,110.28 ms,4.48 ms,199900/200000 (100%),United States,Egypt,"186,901291666667","187,861875","194,653375","1,58258333333333","12199,0534360117","121,990534360117",2,"13695,2350454146","12,25","14514,9507102745","9,33333333333333","15618,3708090152"
Los-Angeles,Sidney,isls,telesat,1015,354,360,47.99 ms,47.99 ms,88.11 ms,95.98 ms,99.28 ms,4.15 ms,199912/200000 (100%),kuiper,630,1159,1165,48.00 ms,48.00 ms,93.82 ms,96.00 ms,100.67 ms,1.87 ms,199906/200000 (100%),starlink,550,1587,1593,51.90 ms,51.89 ms,99.78 ms,103.79 ms,113.10 ms,5.14 ms,199887/200000 (100%),United States,Australia,"161,223791666667","161,328708333333","161,98025","0,4515","12073,6088347194","120,736088347194","2,5","13971,0173176421","10,75","14614,1409418388","9,625","16008,6176163194"
Riyadh,Mexico-City,isls,telesat,1015,353,356,54.88 ms,54.89 ms,109.23 ms,109.77 ms,110.36 ms,0.35 ms,199890/200000 (100%),kuiper,630,1158,1161,53.38 ms,53.38 ms,105.99 ms,106.76 ms,113.76 ms,0.83 ms,199894/200000 (100%),starlink,550,1586,1589,51.38 ms,51.38 ms,101.90 ms,102.76 ms,111.68 ms,0.68 ms,199898/200000 (100%),Saudi Arabia,Mexico,"215,290875","216,0115","222,210416666667","1,584375","13877,2086692241","138,772086692241",3,"16462,3460259898","12,25","16320,3217881199",8,"15411,5259668195"
Riyadh,Tokyo,isls,telesat,1015,353,359,31.44 ms,31.44 ms,62.72 ms,62.88 ms,63.12 ms,0.11 ms,199938/200000 (100%),kuiper,630,1158,1164,36.12 ms,36.12 ms,71.25 ms,72.24 ms,77.22 ms,1.41 ms,199929/200000 (100%),starlink,550,1586,1592,49.96 ms,49.97 ms,91.78 ms,99.93 ms,117.10 ms,9.06 ms,199885/200000 (100%),Saudi Arabia,Japan,"265,91425","266,287","268,181541666667","0,796708333333333","8699,7009327143","86,997009327143",1,"9432,9545","8,75","11069,5485346105","10,5","15251,9906931749"
Mexico-City,Cairo,isls,telesat,1015,356,358,51.10 ms,51.10 ms,101.11 ms,102.19 ms,103.77 ms,0.78 ms,199899/200000 (100%),kuiper,630,1161,1163,48.52 ms,48.53 ms,93.52 ms,97.05 ms,99.29 ms,1.45 ms,199903/200000 (100%),starlink,550,1589,1591,47.93 ms,47.94 ms,91.71 ms,95.87 ms,102.47 ms,4.57 ms,199906/200000 (100%),Mexico,Egypt,"194,593","195,997291666667","204,376833333333","2,15058333333333","12366,9669171993","123,669669171993",3,"15555,2410845425","10,75","14561,2246420658","7,75","14441,5755523842"
Madrid,Riyadh,isls,telesat,1015,351,353,19.08 ms,19.08 ms,38.01 ms,38.17 ms,38.70 ms,0.18 ms,199962/200000 (100%),kuiper,630,1156,1158,21.23 ms,21.24 ms,41.14 ms,42.47 ms,47.17 ms,1.13 ms,199958/200000 (100%),starlink,550,1584,1586,24.84 ms,24.84 ms,47.06 ms,49.69 ms,58.28 ms,2.95 ms,199942/200000 (100%),Spain,Saudi Arabia,"96,1714166666667","96,36475","97,2590416666667",414,"4965,07383775514","49,6507383775514",1,"5766,52716666667","4,66666666666667","6530,86244456564","5,5","7817,4519303603"
Mexico-City,Bogota,isls,telesat,1015,356,357,13.93 ms,13.93 ms,26.58 ms,27.86 ms,29.03 ms,0.88 ms,199972/200000 (100%),kuiper,630,1161,1162,15.11 ms,15.11 ms,29.54 ms,30.22 ms,36.30 ms,1.19 ms,199971/200000 (100%),starlink,550,1589,1590,16.23 ms,16.23 ms,30.92 ms,32.46 ms,35.38 ms,1.35 ms,199965/200000 (100%),Mexico,Colombia,"128,625791666667","129,470166666667","136,248583333333","1,62479166666667","3177,32500427885","31,7732500427886",1,"4167,434875","3,2","4715,66072769325","3,5","5211,59796590249"
Madrid,Cairo,isls,telesat,1015,351,358,14.11 ms,14.11 ms,27.77 ms,28.21 ms,29.15 ms,0.37 ms,199971/200000 (100%),kuiper,630,1156,1163,15.20 ms,15.20 ms,28.70 ms,30.40 ms,32.83 ms,0.60 ms,199970/200000 (100%),starlink,550,1584,1591,16.17 ms,16.17 ms,27.11 ms,32.34 ms,36.80 ms,2.17 ms,199966/200000 (100%),Spain,Egypt,"62,356375","63,2425","68,983875","1,3555","3347,07961727239","33,4707961727239",1,"4276,1123125",3,"4512,26899527661","3,16666666666667","4879,56146743535"
Madrid,Los-Angeles,isls,telesat,1015,351,354,33.75 ms,33.75 ms,67.31 ms,67.50 ms,67.82 ms,0.15 ms,199933/200000 (100%),kuiper,630,1156,1159,36.77 ms,36.77 ms,72.63 ms,73.54 ms,78.79 ms,1.29 ms,199927/200000 (100%),starlink,550,1584,1587,36.06 ms,36.06 ms,70.14 ms,72.11 ms,78.14 ms,1.27 ms,199930/200000 (100%),Spain,United States,"140,161833333333","145,639875","151,51675","3,27675","9365,12306055799","93,6512306055799",1,"10117,3208333333","8,6","11247,9117916196",6,"10800,2095161391"
