constellation,height,type,origin,destination,origin_name,destination_name,Mean latency there,Mean latency back,Min. RTT,Mean RTT,Max. RTT,Smp.std. RTT,Reply arrival
kuiper,630,isls,1156,1164,Cairo,Tunis,10.63 ms,10.63 ms,20.11 ms,21.25 ms,24.24 ms,0.71 ms,199979/200000 (100%)
telesat,1015,isls,353,356,Jerusalem,Ankara,9.29 ms,9.29 ms,18.06 ms,18.59 ms,19.59 ms,0.40 ms,199982/200000 (100%)
telesat,1015,isls,354,359,Limassol,Tunis,10.75 ms,10.75 ms,20.92 ms,21.49 ms,22.98 ms,0.52 ms,199979/200000 (100%)
starlink,550,isls,1584,1592,Cairo,Tunis,10.56 ms,10.56 ms,19.23 ms,21.13 ms,25.96 ms,1.64 ms,199979/200000 (100%)
kuiper,630,isls,1163,1164,Athens,Tunis,6.67 ms,6.67 ms,13.00 ms,13.35 ms,15.39 ms,0.45 ms,199987/200000 (100%)
kuiper,630,isls,1157,1163,TelAviv,Athens,6.25 ms,6.25 ms,11.93 ms,12.49 ms,13.63 ms,0.49 ms,199988/200000 (100%)
starlink,550,isls,1589,1590,Ankara,Izmir,4.10 ms,4.10 ms,7.80 ms,8.20 ms,9.31 ms,0.41 ms,199993/200000 (100%)
starlink,550,isls,1590,1592,Izmir,Tunis,8.01 ms,8.01 ms,13.62 ms,16.02 ms,22.66 ms,1.82 ms,199983/200000 (100%)
telesat,1015,isls,352,358,TelAviv,Athens,8.72 ms,8.72 ms,16.48 ms,17.44 ms,20.15 ms,1.03 ms,199983/200000 (100%)
telesat,1015,isls,351,358,Cairo,Athens,8.30 ms,8.30 ms,15.83 ms,16.59 ms,18.67 ms,0.74 ms,199983/200000 (100%)
kuiper,630,isls,1162,1164,Izmir,Tunis,7.81 ms,7.81 ms,14.62 ms,15.62 ms,17.79 ms,0.72 ms,199984/200000 (100%)
telesat,1015,isls,352,355,TelAviv,Beirut,8.99 ms,8.99 ms,17.12 ms,17.98 ms,19.26 ms,0.69 ms,199981/200000 (100%)
starlink,550,isls,1588,1590,Beirut,Izmir,4.96 ms,4.96 ms,9.27 ms,9.93 ms,10.77 ms,0.46 ms,199991/200000 (100%)
kuiper,630,isls,1162,1163,Izmir,Athens,4.78 ms,4.78 ms,8.96 ms,9.55 ms,10.75 ms,0.46 ms,199991/200000 (100%)
kuiper,630,isls,1156,1157,Cairo,TelAviv,4.67 ms,4.67 ms,8.89 ms,9.34 ms,10.05 ms,0.30 ms,199991/200000 (100%)
telesat,1015,isls,352,357,TelAviv,Izmir,8.66 ms,8.66 ms,16.40 ms,17.32 ms,19.80 ms,0.98 ms,199983/200000 (100%)
kuiper,630,isls,1159,1161,Limassol,Ankara,4.87 ms,4.87 ms,9.37 ms,9.73 ms,10.44 ms,0.30 ms,199991/200000 (100%)
starlink,550,isls,1586,1590,Jerusalem,Izmir,5.18 ms,5.18 ms,9.98 ms,10.35 ms,10.94 ms,0.24 ms,199990/200000 (100%)
telesat,1015,isls,351,359,Cairo,Tunis,10.69 ms,10.69 ms,20.58 ms,21.39 ms,23.31 ms,0.78 ms,199979/200000 (100%)
starlink,550,isls,1586,1591,Jerusalem,Athens,5.74 ms,5.74 ms,11.08 ms,11.47 ms,14.43 ms,0.62 ms,199989/200000 (100%)
starlink,550,isls,1584,1588,Cairo,Beirut,4.25 ms,4.25 ms,7.95 ms,8.49 ms,9.30 ms,0.40 ms,199992/200000 (100%)
starlink,550,isls,1591,1592,Athens,Tunis,6.56 ms,6.56 ms,11.85 ms,13.11 ms,19.71 ms,1.68 ms,199984/200000 (100%)
telesat,1015,isls,351,354,Cairo,Limassol,8.24 ms,8.24 ms,15.48 ms,16.49 ms,19.34 ms,1.06 ms,199981/200000 (100%)
starlink,550,isls,1584,1590,Cairo,Izmir,5.03 ms,5.03 ms,9.74 ms,10.05 ms,10.71 ms,0.29 ms,199991/200000 (100%)
starlink,550,isls,1584,1589,Cairo,Ankara,5.35 ms,5.35 ms,10.27 ms,10.70 ms,20.61 ms,0.25 ms,199990/200000 (100%)
telesat,1015,isls,352,356,TelAviv,Ankara,9.19 ms,9.19 ms,17.88 ms,18.38 ms,19.44 ms,0.43 ms,199982/200000 (100%)
kuiper,630,isls,1160,1161,Beirut,Ankara,5.09 ms,5.09 ms,9.83 ms,10.19 ms,10.70 ms,0.23 ms,199990/200000 (100%)
kuiper,630,isls,1158,1164,Jerusalem,Tunis,11.64 ms,11.64 ms,21.29 ms,23.28 ms,25.63 ms,0.86 ms,199978/200000 (100%)
starlink,550,isls,1586,1587,Jerusalem,Limassol,4.03 ms,4.03 ms,7.32 ms,8.06 ms,8.98 ms,0.47 ms,199993/200000 (100%)
kuiper,630,isls,1156,1161,Cairo,Ankara,5.99 ms,5.99 ms,11.71 ms,11.98 ms,14.92 ms,0.27 ms,199989/200000 (100%)
telesat,1015,isls,355,359,Beirut,Tunis,11.41 ms,11.41 ms,22.31 ms,22.82 ms,24.35 ms,0.52 ms,199977/200000 (100%)
kuiper,630,isls,1159,1163,Limassol,Athens,5.57 ms,5.57 ms,10.61 ms,11.13 ms,11.90 ms,0.38 ms,199990/200000 (100%)
starlink,550,isls,1585,1589,TelAviv,Ankara,4.94 ms,4.94 ms,9.39 ms,9.87 ms,11.02 ms,0.42 ms,199991/200000 (100%)
telesat,1015,isls,353,355,Jerusalem,Beirut,9.03 ms,9.03 ms,17.10 ms,18.07 ms,19.02 ms,0.59 ms,199981/200000 (100%)
kuiper,630,isls,1156,1158,Cairo,Jerusalem,4.69 ms,4.69 ms,8.93 ms,9.38 ms,10.03 ms,0.30 ms,199991/200000 (100%)
telesat,1015,isls,355,357,Beirut,Izmir,8.75 ms,8.75 ms,16.38 ms,17.51 ms,19.79 ms,1.15 ms,199983/200000 (100%)
kuiper,630,isls,1157,1161,TelAviv,Ankara,5.44 ms,5.44 ms,10.47 ms,10.88 ms,11.60 ms,0.28 ms,199990/200000 (100%)
kuiper,630,isls,1156,1159,Cairo,Limassol,4.98 ms,4.98 ms,9.57 ms,9.95 ms,11.13 ms,0.41 ms,199991/200000 (100%)
telesat,1015,isls,351,352,Cairo,TelAviv,8.51 ms,8.51 ms,15.22 ms,17.02 ms,20.91 ms,1.62 ms,199980/200000 (100%)
starlink,550,isls,1585,1592,TelAviv,Tunis,11.70 ms,11.70 ms,20.78 ms,23.40 ms,33.30 ms,4.09 ms,199968/200000 (100%)
kuiper,630,isls,1159,1164,Limassol,Tunis,10.44 ms,10.44 ms,19.40 ms,20.88 ms,24.21 ms,1.07 ms,199979/200000 (100%)
starlink,550,isls,1584,1587,Cairo,Limassol,4.19 ms,4.19 ms,7.82 ms,8.38 ms,9.51 ms,0.44 ms,199992/200000 (100%)
starlink,550,isls,1587,1590,Limassol,Izmir,4.43 ms,4.43 ms,8.27 ms,8.87 ms,9.97 ms,0.41 ms,199992/200000 (100%)
starlink,550,isls,1587,1591,Limassol,Athens,4.81 ms,4.81 ms,9.31 ms,9.62 ms,10.12 ms,0.20 ms,199991/200000 (100%)
