origin_name,destination_name,type,constellation_telesat,height_telesat,origin_telesat,destination_telesat,Mean latency there_telesat,Mean latency back_telesat,Min. RTT_telesat,Mean RTT_telesat,Max. RTT_telesat,Smp.std. RTT_telesat,Reply arrival_telesat,constellation_kuiper,height_kuiper,origin_kuiper,destination_kuiper,Mean latency there_kuiper,Mean latency back_kuiper,Min. RTT_kuiper,Mean RTT_kuiper,Max. RTT_kuiper,Smp.std. RTT_kuiper,Reply arrival_kuiper,constellation_starlink,height_starlink,origin_starlink,destination_starlink,Mean latency there_starlink,Mean latency back_starlink,Min. RTT_starlink,Mean RTT_starlink,Max. RTT_starlink,Smp.std. RTT_starlink,Reply arrival_starlink,country_source,country_destination,min_of,avg_of,max_of,mdev_of,Distance_of,Expected_Latency_of,satellites_telesat,satellites_distance_telesat,satellites_kuiper,satellites_distance_kuiper,satellites_starlink,satellites_distance_starlink
London,Rome,isls,telesat,1015,354,355,8.40 ms,8.40 ms,15.99 ms,16.81 ms,19.38 ms,0.94 ms,199984/200000 (100%),kuiper,630,1159,1160,5.84 ms,5.84 ms,11.41 ms,11.68 ms,12.31 ms,0.26 ms,199989/200000 (100%),starlink,550.0,1587.0,1588.0,5.23 ms,5.23 ms,10.22 ms,10.47 ms,10.90 ms,0.16 ms,199990/200000 (100%),United Kingdom,Italy,"30,7575833333333","31,1915833333333","34,1905833333333","0,732458333333333","1433,85984739964","14,3385984739964",1.0,2658.5594375,1.0,1776.9886125,1.0,1583.5552291666663
Barcelona,Venice,isls,telesat,1015,356,357,7.97 ms,7.97 ms,15.21 ms,15.94 ms,16.76 ms,0.41 ms,199985/200000 (100%),kuiper,630,1161,1162,5.54 ms,5.54 ms,10.81 ms,11.08 ms,11.59 ms,0.20 ms,199990/200000 (100%),starlink,550.0,1589.0,1590.0,4.92 ms,4.92 ms,9.54 ms,9.83 ms,10.60 ms,0.29 ms,199991/200000 (100%),Spain,Italy,"44,27275","48,9174583333333","83,4860833333333","8,44145833333333","960,520233966983","9,60520233966983",1.0,2507.981125,1.0,1702.984890625,1.0,1507.15846875
Munich,London,isls,telesat,1015,352,354,8.01 ms,8.01 ms,15.35 ms,16.01 ms,18.04 ms,0.69 ms,199985/200000 (100%),kuiper,630,1157,1159,5.41 ms,5.41 ms,10.70 ms,10.83 ms,11.10 ms,0.10 ms,199990/200000 (100%),starlink,550.0,1585.0,1587.0,4.80 ms,4.80 ms,9.38 ms,9.61 ms,9.93 ms,0.15 ms,199991/200000 (100%),Germany,United Kingdom,"20,510875","21,241375","25,812125","1,07108333333333","916,648432441566","9,16648432441566",1.0,2541.1739687500003,1.0,1638.0897589285712,1.0,1460.2772083333336
Amsterdam,Barcelona,isls,telesat,1015,353,356,9.18 ms,9.18 ms,17.37 ms,18.35 ms,21.00 ms,1.08 ms,199983/200000 (100%),kuiper,630,1158,1161,6.41 ms,6.41 ms,12.12 ms,12.81 ms,17.18 ms,0.64 ms,199986/200000 (100%),starlink,550.0,1586.0,1589.0,5.58 ms,5.58 ms,10.99 ms,11.17 ms,11.41 ms,0.11 ms,199989/200000 (100%),Netherlands,Spain,"31,928375","32,2603333333333","32,8672083333333","0,303916666666667","1228,57351790397","12,2857351790397",1.0,2969.650875,1.0,1970.1154910714288,1.0,1689.12175
London,Moscow,isls,telesat,1015,354,359,11.75 ms,11.75 ms,22.62 ms,23.49 ms,24.89 ms,0.68 ms,199977/200000 (100%),kuiper,630,1159,1164,11.53 ms,11.53 ms,22.16 ms,23.05 ms,26.51 ms,1.00 ms,199978/200000 (100%),starlink,550.0,1587.0,1592.0,10.50 ms,10.50 ms,20.58 ms,21.01 ms,25.97 ms,0.43 ms,199980/200000 (100%),United Kingdom,Russia,"49,8295833333333","50,437125","53,57725","0,8485","2498,79240006715","24,9879240006715",1.0,3559.9678125,2.363636363636364,3533.2187553742992,2.0,3199.3138592915457
Munich,Helsinki,isls,telesat,1015,352,358,9.61 ms,9.61 ms,17.98 ms,19.21 ms,20.65 ms,0.91 ms,199981/200000 (100%),kuiper,630,1157,1163,8.13 ms,8.13 ms,14.24 ms,16.26 ms,28.82 ms,2.51 ms,173974/200000 (87%),starlink,550.0,1585.0,1591.0,7.30 ms,7.30 ms,13.05 ms,14.59 ms,19.33 ms,1.41 ms,199987/200000 (100%),Germany,Finland,"32,7508333333333","32,9430833333333","34,7437916666667","0,448125","1584,08126764901","15,8408126764901",1.0,2928.8535,1.5,2222.39795682282,1.5,2163.044990142022
Frankfurt,Helsinki,isls,telesat,1015,351,358,9.35 ms,9.35 ms,17.65 ms,18.70 ms,20.23 ms,0.85 ms,199981/200000 (100%),kuiper,630,1156,1163,8.51 ms,8.51 ms,14.44 ms,17.01 ms,22.33 ms,2.62 ms,173974/200000 (87%),starlink,550.0,1584.0,1591.0,7.45 ms,7.45 ms,13.00 ms,14.91 ms,18.98 ms,1.42 ms,199987/200000 (100%),Germany,Finland,"23,442375","23,609125","25,171375","0,395458333333333","1505,26411194137","15,0526411194137",1.0,2782.3416666666667,1.4,2053.374555349575,1.5,2153.2011895569926
Munich,Rome,isls,telesat,1015,352,355,7.29 ms,7.29 ms,13.89 ms,14.59 ms,16.60 ms,0.70 ms,199985/200000 (100%),kuiper,630,1157,1160,4.84 ms,4.84 ms,8.70 ms,9.68 ms,11.52 ms,0.89 ms,199992/200000 (100%),starlink,550.0,1585.0,1588.0,3.77 ms,3.77 ms,7.14 ms,7.53 ms,7.95 ms,0.22 ms,199993/200000 (100%),Germany,Italy,"15,502375","15,638625","16,2241666666667","0,202958333333333","696,967594303167","6,96967594303167",1.0,2297.081125,1.0,1521.93140625,1.0,1151.086130208333
Munich,Venice,isls,telesat,1015,352,357,7.32 ms,7.32 ms,13.96 ms,14.63 ms,16.55 ms,0.66 ms,199985/200000 (100%),kuiper,630,1157,1162,4.85 ms,4.85 ms,8.73 ms,9.70 ms,11.58 ms,0.89 ms,199992/200000 (100%),starlink,550.0,1585.0,1590.0,3.78 ms,3.78 ms,7.18 ms,7.57 ms,7.94 ms,0.21 ms,199993/200000 (100%),Germany,Italy,"18,7577083333333","23,504625","59,3235416666667","8,4915","283,928559361622","2,83928559361622",1.0,2299.8078125,1.0,1578.163625,1.0,1153.6212760416668
Frankfurt,Moscow,isls,telesat,1015,351,359,10.75 ms,10.75 ms,20.01 ms,21.50 ms,23.42 ms,0.96 ms,199980/200000 (100%),kuiper,630,1156,1164,9.76 ms,9.76 ms,16.76 ms,19.52 ms,21.69 ms,1.44 ms,199980/200000 (100%),starlink,550.0,1584.0,1592.0,8.58 ms,8.58 ms,16.49 ms,17.16 ms,22.25 ms,0.73 ms,199984/200000 (100%),Germany,Russia,"48,6450416666667","48,7810833333333","49,1981666666667","0,23775","2020,69723444239","20,2069723444239",1.0,3250.6788125000003,1.8,2814.872470675408,2.0,2608.3431189078874
Frankfurt,London,isls,telesat,1015,351,354,7.87 ms,7.87 ms,14.81 ms,15.74 ms,17.43 ms,0.64 ms,199986/200000 (100%),kuiper,630,1156,1159,4.90 ms,4.90 ms,9.58 ms,9.81 ms,10.51 ms,0.24 ms,199991/200000 (100%),starlink,550.0,1584.0,1587.0,4.16 ms,4.16 ms,8.20 ms,8.32 ms,8.54 ms,0.10 ms,199992/200000 (100%),Germany,United Kingdom,13327,"14,0375416666667","18,3920833333333","1,01929166666667","636,385472327791","6,36385472327791",1.0,2506.3161250000003,1.0,1475.633544642857,1.0,1269.24653125
Munich,Barcelona,isls,telesat,1015,352,356,8.16 ms,8.16 ms,15.69 ms,16.31 ms,17.97 ms,0.56 ms,199985/200000 (100%),kuiper,630,1157,1161,5.79 ms,5.79 ms,11.23 ms,11.58 ms,12.50 ms,0.33 ms,199989/200000 (100%),starlink,550.0,1585.0,1589.0,5.18 ms,5.18 ms,10.03 ms,10.36 ms,11.03 ms,0.23 ms,199990/200000 (100%),Germany,Spain,"30,4068333333333","30,6745","31,4001666666667",295,"1053,70173852679","10,5370173852679",1.0,2574.5780625,1.0,1761.4798541666669,1.0,1566.8729843749998
Rome,Moscow,isls,telesat,1015,355,359,11.40 ms,11.40 ms,21.23 ms,22.80 ms,23.76 ms,0.68 ms,199979/200000 (100%),kuiper,630,1160,1164,10.05 ms,10.05 ms,17.46 ms,20.10 ms,22.05 ms,1.37 ms,199980/200000 (100%),starlink,550.0,1588.0,1592.0,9.09 ms,9.09 ms,17.01 ms,18.19 ms,23.84 ms,0.98 ms,199983/200000 (100%),Italy,Russia,"48,722625","48,8307083333333","49,3755","0,244416666666667","2375,1692734235","23,751692734235",1.0,3417.6890499999995,2.0,2984.8751587110187,2.0,2717.369929031164
Amsterdam,Rome,isls,telesat,1015,353,355,7.85 ms,7.85 ms,15.11 ms,15.70 ms,17.83 ms,0.72 ms,199985/200000 (100%),kuiper,630,1158,1160,5.41 ms,5.41 ms,10.59 ms,10.82 ms,11.36 ms,0.22 ms,199990/200000 (100%),starlink,550.0,1586.0,1588.0,4.77 ms,4.77 ms,9.30 ms,9.55 ms,10.14 ms,0.21 ms,199991/200000 (100%),Netherlands,Italy,"17,4462083333333","17,7967083333333","18,5166666666667","0,31225","1296,65728516175","12,9665728516175",1.0,2478.22425,1.0,1652.7987053571428,1.0,1465.7455875
Rome,Venice,isls,telesat,1015,355,357,7.11 ms,7.11 ms,13.73 ms,14.22 ms,15.40 ms,0.38 ms,199986/200000 (100%),kuiper,630,1160,1162,4.58 ms,4.58 ms,8.66 ms,9.17 ms,10.47 ms,0.50 ms,199992/200000 (100%),starlink,550.0,1588.0,1590.0,3.69 ms,3.69 ms,6.95 ms,7.37 ms,8.39 ms,0.37 ms,199992/200000 (100%),Italy,Italy,"15,6772916666667","20,0705833333333","46,9962083333333","6,548875","418,846449765687","4,18846449765687",1.0,2230.7953125,1.0,1401.09053125,1.0,1158.0750624999998
Frankfurt,Munich,isls,telesat,1015,351,352,7.19 ms,7.19 ms,13.81 ms,14.37 ms,16.44 ms,0.67 ms,199986/200000 (100%),kuiper,630,1156,1157,4.55 ms,4.55 ms,8.81 ms,9.11 ms,9.84 ms,0.28 ms,199992/200000 (100%),starlink,550.0,1584.0,1585.0,3.79 ms,3.79 ms,7.19 ms,7.57 ms,8.37 ms,0.33 ms,199993/200000 (100%),Germany,Germany,"7,33216666666667","7,50454166666667","8,29375","0,218375","304,360755462539","3,04360755462538",1.0,2280.01259375,1.0,1398.4057321428572,1.0,1177.59140625
