constellation,height,type,origin,destination,origin_name,destination_name,Mean latency there,Mean latency back,Min. RTT,Mean RTT,Max. RTT,Smp.std. RTT,Reply arrival
kuiper,630,isls,1156,1163,Madrid,Cairo,15.20 ms,15.20 ms,28.70 ms,30.40 ms,32.83 ms,0.60 ms,199970/200000 (100%)
kuiper,630,isls,1160,1158,New-York,Riyadh,40.82 ms,40.83 ms,80.76 ms,81.65 ms,86.70 ms,1.45 ms,199920/200000 (100%)
starlink,550,isls,1589,1585,Mexico-City,Barcelona,38.66 ms,38.66 ms,75.12 ms,77.31 ms,85.10 ms,0.95 ms,199924/200000 (100%)
kuiper,630,isls,1157,1160,Barcelona,New-York,25.23 ms,25.22 ms,49.06 ms,50.45 ms,52.82 ms,1.02 ms,199951/200000 (100%)
starlink,550,isls,1586,1592,Riyadh,Tokyo,49.96 ms,49.97 ms,91.78 ms,99.93 ms,117.10 ms,9.06 ms,199885/200000 (100%)
starlink,550,isls,1587,1593,Los-Angeles,Sidney,51.90 ms,51.89 ms,99.78 ms,103.79 ms,113.10 ms,5.14 ms,199887/200000 (100%)
kuiper,630,isls,1158,1156,Riyadh,Madrid,21.24 ms,21.23 ms,41.14 ms,42.47 ms,48.11 ms,1.13 ms,199958/200000 (100%)
telesat,1015,isls,351,356,Madrid,Mexico-City,32.73 ms,32.73 ms,65.29 ms,65.47 ms,65.79 ms,0.15 ms,199935/200000 (100%)
starlink,550,isls,1586,1584,Riyadh,Madrid,24.84 ms,24.84 ms,47.06 ms,49.69 ms,59.62 ms,2.95 ms,199942/200000 (100%)
telesat,1015,isls,351,357,Madrid,Bogota,29.13 ms,29.13 ms,58.21 ms,58.26 ms,58.40 ms,0.04 ms,199942/200000 (100%)
telesat,1015,isls,359,353,Tokyo,Riyadh,31.44 ms,31.44 ms,62.72 ms,62.88 ms,63.12 ms,0.11 ms,199938/200000 (100%)
