origin_name,destination_name,type,constellation_telesat,height_telesat,origin_telesat,destination_telesat,Mean latency there_telesat,Mean latency back_telesat,Min. RTT_telesat,Mean RTT_telesat,Max. RTT_telesat,Smp.std. RTT_telesat,Reply arrival_telesat,constellation_kuiper,height_kuiper,origin_kuiper,destination_kuiper,Mean latency there_kuiper,Mean latency back_kuiper,Min. RTT_kuiper,Mean RTT_kuiper,Max. RTT_kuiper,Smp.std. RTT_kuiper,Reply arrival_kuiper,constellation_starlink,height_starlink,origin_starlink,destination_starlink,Mean latency there_starlink,Mean latency back_starlink,Min. RTT_starlink,Mean RTT_starlink,Max. RTT_starlink,Smp.std. RTT_starlink,Reply arrival_starlink,country_source,country_destination,min_of,avg_of,max_of,mdev_of,Distance_of,Expected_Latency_of
Los-Angeles,Madrid,isls,telesat,1015,354,351,33.75 ms,33.75 ms,67.31 ms,67.50 ms,67.82 ms,0.15 ms,199933/200000 (100%),kuiper,630,1159,1156,36.77 ms,36.77 ms,72.63 ms,73.54 ms,78.59 ms,1.29 ms,199927/200000 (100%),starlink,550,1587,1584,36.06 ms,36.06 ms,70.14 ms,72.11 ms,76.77 ms,1.27 ms,199930/200000 (100%),United States,Spain,"141,062875","145,655041666667","150,771916666667","2,76229166666667","9365,12306055799","93,6512306055799"
Los-Angeles,Sidney,isls,telesat,1015,354,360,47.99 ms,47.99 ms,88.11 ms,95.98 ms,99.28 ms,4.15 ms,199912/200000 (100%),kuiper,630,1159,1165,48.00 ms,48.00 ms,93.82 ms,96.00 ms,100.67 ms,1.87 ms,199906/200000 (100%),starlink,550,1587,1593,51.90 ms,51.89 ms,99.78 ms,103.79 ms,113.10 ms,5.14 ms,199887/200000 (100%),United States,Australia,"161,223791666667","161,328708333333","161,98025","0,4515","12073,6088347194","120,736088347194"
Los-Angeles,Tokyo,isls,telesat,1015,354,359,31.91 ms,31.91 ms,63.65 ms,63.82 ms,64.31 ms,0.18 ms,199937/200000 (100%),kuiper,630,1159,1164,35.36 ms,35.36 ms,67.62 ms,70.71 ms,72.69 ms,1.80 ms,199933/200000 (100%),starlink,550,1587,1592,34.81 ms,34.81 ms,66.62 ms,69.62 ms,79.84 ms,3.23 ms,199925/200000 (100%),United States,Japan,"114,831916666667","114,927625","115,285583333333","0,317458333333333","8810,3433445644","88,103433445644"
Madrid,New-York,isls,telesat,1015,351,355,21.77 ms,21.77 ms,43.40 ms,43.54 ms,44.13 ms,0.18 ms,199957/200000 (100%),kuiper,630,1156,1160,24.19 ms,24.19 ms,47.60 ms,48.38 ms,50.44 ms,0.34 ms,199952/200000 (100%),starlink,550,1584,1588,25.68 ms,25.68 ms,49.31 ms,51.36 ms,60.25 ms,0.67 ms,199949/200000 (100%),Spain,United States,"95,3402916666667",95457,"96,0549166666667","0,377875","5742,34096750353","57,4234096750353"
Madrid,Riyadh,isls,telesat,1015,351,353,19.08 ms,19.08 ms,38.01 ms,38.17 ms,38.70 ms,0.18 ms,199962/200000 (100%),kuiper,630,1156,1158,21.23 ms,21.24 ms,41.14 ms,42.47 ms,47.17 ms,1.13 ms,199958/200000 (100%),starlink,550,1584,1586,24.84 ms,24.84 ms,47.06 ms,49.69 ms,58.28 ms,2.95 ms,199942/200000 (100%),Spain,Saudi Arabia,"96,1714166666667","96,36475","97,2590416666667",414,"4965,07383775514","49,6507383775514"
Madrid,Sidney,isls,telesat,1015,351,360,70.04 ms,70.03 ms,139.53 ms,140.07 ms,140.53 ms,0.29 ms,199860/200000 (100%),kuiper,630,1156,1165,68.39 ms,68.39 ms,134.43 ms,136.78 ms,140.04 ms,2.10 ms,199861/200000 (100%),starlink,550,1584,1593,68.03 ms,68.03 ms,131.19 ms,136.06 ms,141.94 ms,4.02 ms,199868/200000 (100%),Spain,Australia,"265,407166666667","265,529666666667","266,709625","0,609916666666667","17683,1933574916","176,831933574916"
Madrid,Mexico-City,isls,telesat,1015,351,356,32.73 ms,32.73 ms,65.29 ms,65.47 ms,65.79 ms,0.15 ms,199935/200000 (100%),kuiper,630,1156,1161,37.15 ms,37.15 ms,72.49 ms,74.31 ms,78.23 ms,1.10 ms,199926/200000 (100%),starlink,550,1584,1589,42.65 ms,42.65 ms,78.98 ms,85.29 ms,110.27 ms,8.19 ms,199908/200000 (100%),Spain,Mexico,"147,652291666667","148,419041666667","156,100208333333","1,83658333333333","9064,8470904846","90,648470904846"
Madrid,Bogota,isls,telesat,1015,351,357,29.13 ms,29.13 ms,58.21 ms,58.26 ms,58.40 ms,0.04 ms,199942/200000 (100%),kuiper,630,1156,1162,32.75 ms,32.74 ms,63.40 ms,65.49 ms,68.12 ms,1.43 ms,199935/200000 (100%),starlink,550,1584,1590,38.90 ms,38.90 ms,73.09 ms,77.80 ms,86.37 ms,5.61 ms,199922/200000 (100%),Spain,Colombia,"175,871166666667","177,018958333333","180,070916666667","1,13875","8021,63192612089","80,2163192612089"
Madrid,Cairo,isls,telesat,1015,351,358,14.11 ms,14.11 ms,27.77 ms,28.21 ms,29.15 ms,0.37 ms,199971/200000 (100%),kuiper,630,1156,1163,15.20 ms,15.20 ms,28.70 ms,30.40 ms,32.83 ms,0.60 ms,199970/200000 (100%),starlink,550,1584,1591,16.17 ms,16.17 ms,27.11 ms,32.34 ms,36.80 ms,2.17 ms,199966/200000 (100%),Spain,Egypt,"62,356375","63,2425","68,983875","1,3555","3347,07961727239","33,4707961727239"
Madrid,Tokyo,isls,telesat,1015,351,359,39.57 ms,39.57 ms,76.47 ms,79.14 ms,87.42 ms,2.05 ms,199919/200000 (100%),kuiper,630,1156,1164,43.61 ms,43.61 ms,85.44 ms,87.22 ms,90.74 ms,2.19 ms,199915/200000 (100%),starlink,550,1584,1592,51.44 ms,51.44 ms,98.92 ms,102.88 ms,110.09 ms,4.15 ms,199902/200000 (100%),Spain,Japan,"235,5915","235,722625","236,367833333333","0,502791666666667","10766,6139281765","107,666139281765"
Madrid,Los-Angeles,isls,telesat,1015,351,354,33.75 ms,33.75 ms,67.31 ms,67.50 ms,67.82 ms,0.15 ms,199933/200000 (100%),kuiper,630,1156,1159,36.77 ms,36.77 ms,72.63 ms,73.54 ms,78.79 ms,1.29 ms,199927/200000 (100%),starlink,550,1584,1587,36.06 ms,36.06 ms,70.14 ms,72.11 ms,78.14 ms,1.27 ms,199930/200000 (100%),Spain,United States,"140,161833333333","145,639875","151,51675","3,27675","9365,12306055799","93,6512306055799"
Madrid,Barcelona,isls,telesat,1015,351,352,8.20 ms,8.20 ms,14.58 ms,16.41 ms,18.72 ms,1.13 ms,199986/200000 (100%),kuiper,630,1156,1157,5.09 ms,5.09 ms,9.47 ms,10.18 ms,11.72 ms,0.62 ms,199991/200000 (100%),starlink,550,1584,1585,4.03 ms,4.03 ms,7.69 ms,8.07 ms,8.83 ms,0.30 ms,199992/200000 (100%),Spain,Spain,"8,582875","8,79241666666667","9,16020833333333","0,158625","503,94949011776","5,0394949011776"
Mexico-City,Tokyo,isls,telesat,1015,356,359,42.88 ms,42.88 ms,85.41 ms,85.76 ms,86.57 ms,0.35 ms,199915/200000 (100%),kuiper,630,1161,1164,44.30 ms,44.30 ms,85.34 ms,88.60 ms,90.64 ms,1.42 ms,199915/200000 (100%),starlink,550,1589,1592,43.77 ms,43.77 ms,83.75 ms,87.54 ms,94.51 ms,1.15 ms,199911/200000 (100%),Mexico,Japan,"164,034833333333","164,82375","171,995333333333","1,72970833333333","11300,6889783313","113,006889783313"
Mexico-City,Cairo,isls,telesat,1015,356,358,51.10 ms,51.10 ms,101.11 ms,102.19 ms,103.77 ms,0.78 ms,199899/200000 (100%),kuiper,630,1161,1163,48.52 ms,48.53 ms,93.52 ms,97.05 ms,99.29 ms,1.45 ms,199903/200000 (100%),starlink,550,1589,1591,47.93 ms,47.94 ms,91.71 ms,95.87 ms,102.47 ms,4.57 ms,199906/200000 (100%),Mexico,Egypt,194593,"195,997291666667","204,376833333333","2,15058333333333","12366,9669171993","123,669669171993"
Mexico-City,Sidney,isls,telesat,1015,356,360,52.04 ms,52.05 ms,94.52 ms,104.09 ms,107.88 ms,4.43 ms,199893/200000 (100%),kuiper,630,1161,1165,53.15 ms,53.15 ms,105.09 ms,106.31 ms,110.14 ms,1.52 ms,199895/200000 (100%),starlink,550,1589,1593,68.47 ms,68.47 ms,130.62 ms,136.94 ms,145.36 ms,4.71 ms,199859/200000 (100%),Mexico,Australia,"194,286708333333","196,038125","202,211875","2,07358333333333","12972,9345835043","129,729345835043"
Mexico-City,Bogota,isls,telesat,1015,356,357,13.93 ms,13.93 ms,26.58 ms,27.86 ms,29.03 ms,0.88 ms,199972/200000 (100%),kuiper,630,1161,1162,15.11 ms,15.11 ms,29.54 ms,30.22 ms,36.30 ms,1.19 ms,199971/200000 (100%),starlink,550,1589,1590,16.23 ms,16.23 ms,30.92 ms,32.46 ms,35.38 ms,1.35 ms,199965/200000 (100%),Mexico,Colombia,"128,625791666667","129,470166666667","136,248583333333","1,62479166666667","3177,32500427885","31,7732500427886"
